	SRX4240060	SRX4240061	SRX4240062	SRX4240063	SRX4240068	SRX4240069	SRX4240070	SRX4240071
AT1G01040	74.6054033390018	32.2615814676086	80.8649563027341	61.6612581765898	35.6160535053171	24.8674938466713	19.0997750830934	35.4142699710699
AT1G01050	72.3320817605021	94.082655875887	79.890263523873	79.3320432630152	48.1139876180004	71.7013456963209	55.0710732814024	54.9829793125662
AT1G01060	1012.92661875684	693.537102034814	911.738285016241	1036.77413927341	341.326640407022	241.208205379893	370.033922949362	368.346937804606
AT1G01080	52.4895592265002	59.4792733152198	60.1819739809657	69.5896118596731	61.6624964990936	53.4412315177364	41.3788900690762	27.4334570619152
AT1G01090	346.919747590655	536.824565880061	453.979592722961	407.697717986452	433.025888562004	485.975787497286	398.206222188602	414.990581954369
AT1G01100	229.631458310071	464.341604277119	366.199574551505	215.320786672222	489.421489814614	703.069144343145	325.424569388145	335.445020476503
AT1G01120	268.07435041096	368.02921269097	258.692281886827	260.071133131798	258.899076230193	382.407177047045	406.678695001126	466.046205601752
AT1G01140	63.0020009355381	64.2491772904416	42.536970000844	62.0242110887312	127.899710711782	132.689886152018	131.14624010547	172.028212383467
AT1G01160	34.1222609082987	58.1984563225449	35.5609090708754	28.1563433162663	82.6068529287066	77.5099022006317	63.6404096229654	64.2445923199235
AT1G01170	45.7073630772742	76.3330773302736	26.6052100420739	32.3923719447302	60.6585499498274	96.6495365401734	21.1613945939973	34.0052850260481
AT1G01180	25.0248434526856	30.438506312787	25.3619884202771	20.005471779369	9.16456907009532	7.9668161884801	7.06039401043621	6.5455927753055
AT1G01210	24.4048407640345	35.6237990291368	40.8491802427632	26.8252349280715	26.7424912345675	41.8987787174125	27.1907685159695	32.8555894252021
AT1G01220	24.9443201825779	17.9144337767995	16.2132409240521	31.8876002737476	5.98765072148896	14.7363248670466	16.2373821229011	7.61807923667525
AT1G01230	20.9111705563537	31.82207478155	10.1447953681109	14.486720943681	12.6012824713811	12.5192825818973	9.88455161461069	18.3276597708554
AT1G01240	17.5388520656467	10.3306120608638	7.75177600056919	8.68462391208482	84.0332611890065	111.315245940811	117.037863849776	80.5289351887396
AT1G01250	21.253976631048	30.438506312787	15.2171930521663	15.176564798142	5.72785566880957	6.8286995901258	8.47247281252345	10.4729484404888
