	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01040	45.5488489615107	-1.12383535089986	0.321812353915618	-3.49220698716414	0.000479046866781049	0.00199577690558372
AT1G01050	69.4383037914459	-0.485684827073644	0.223882740649349	-2.16937145607993	0.0300544942275887	0.0683950647869097
AT1G01060	621.986481452774	-1.47213703019964	0.201117967039951	-7.3197688494296	2.48398451826013e-13	4.21384536698429e-12
AT1G01080	53.2070616912725	-0.392461959361285	0.271001776255036	-1.44818961995269	0.147564026775593	0.248541755523766
AT1G01090	434.702513047799	-0.00325850518504157	0.179703682872327	-0.0181326566765837	0.985533025969632	0.99043401215108
AT1G01100	391.106705979166	0.547280586695854	0.302404227774296	1.80976499807511	0.0703322380271812	0.137613344022683
AT1G01120	333.612266500084	0.393745867947842	0.216395745471841	1.8195638139248	0.0688254565342026	0.135125302050139
AT1G01140	99.4470510835364	1.26284378141932	0.212870069540078	5.93246285937608	2.98423910178246e-09	3.20363279691756e-08
AT1G01160	55.5049658362766	0.931887809340877	0.26354945755921	3.53591245442619	0.000406369336963806	0.00172841029545436
AT1G01170	49.1890985630497	0.250829774471156	0.418312293493108	0.599623244099778	0.548757352546563	0.668741093130103
AT1G01180	16.4460227511795	-1.68394894087487	0.406035391335715	-4.14729596682511	3.36425048505855e-05	0.000187115194276299
AT1G01210	32.0488353571447	0.0619251358764116	0.298751357427104	0.207279847729299	0.835791311562768	0.89137133260447
AT1G01220	16.9423790131611	-1.08111430009856	0.41165875098304	-2.62623908156176	0.00863341536220176	0.0242127724981953
AT1G01230	16.337192261055	-0.521213508024292	0.408918592716034	-1.27461435432025	0.202445774261803	0.31932691655165
AT1G01240	54.6526462759371	3.02626957372874	0.316749599812917	9.55413858617706	1.24616268825326e-21	3.82089093393662e-20
AT1G01250	14.1985271632614	-1.37575638670606	0.436246804743414	-3.15361940018158	0.00161259245923877	0.00574404564658768
AT1G01260	15.6690550427648	-0.385415541992687	0.364792736299736	-1.0565329395046	0.290724800024819	0.418647513602264
AT1G01290	13.5855590226844	0.232726664925884	0.430454437949548	0.540653422077533	0.588746488565125	0.702712076928881
AT1G01300	47.8469841821429	-2.10409800989173	0.320948013045151	-6.55588420669151	5.53131403195169e-11	7.39093174239045e-10
AT1G01320	623.393110468932	-1.19388100490117	0.218392089347225	-5.46668612617648	4.58526924225701e-08	4.20501964166734e-07
AT1G01350	30.0499647456974	0.798080270041801	0.283442978560048	2.81566427962415	0.00486765033033029	0.0148524588121253
AT1G01360	34.4936192054334	1.42470691403758	0.291795502138711	4.88255269048087	1.04721244035426e-06	7.7398838922156e-06
AT1G01390	15.4718415271326	-3.14201539533434	0.548634380259133	-5.72697502816045	1.0223721098673e-08	1.02430988869571e-07
AT1G01420	24.4317994300483	-2.89521398361465	0.441424524654367	-6.55879730715367	5.42434722357378e-11	7.25533892302909e-10
