	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	126.401644528231	1.00442005787074	0.266085364510483	3.77480384807549	0.000160133616797233	0.000669649670242975
AT1G01020	199.605772640715	0.854968861968217	0.21311201718769	4.01182848931151	6.02502671646284e-05	0.000282000099445494
AT1G01030	113.710146181739	0.00578642395181781	0.311515789038025	0.0185750583291029	0.985180099973344	0.989364901346341
AT1G01040	1019.72289643743	0.0154769036893736	0.152644677245365	0.101391702407649	0.91923952305009	0.944129015086605
AT1G01050	1140.21551344749	0.116331742370167	0.145046491476544	0.802030722604412	0.422535186800105	0.533999590876413
AT1G01060	786.878747244852	-3.18940230096156	0.730717835568652	-4.36475222816962	1.27266927470193e-05	6.95180113832953e-05
AT1G01070	116.064979855878	-0.146693824628736	0.27840539124942	-0.526907269900226	0.5982579851315	0.696785321286226
AT1G01080	485.53299532479	-1.03022361797555	0.205210323757418	-5.02033035722603	5.15826890349285e-07	3.88868829609998e-06
AT1G01090	2706.0094797637	-1.00083193789704	0.159743613372604	-6.26523913392759	3.7225369500954e-10	5.01235902445958e-09
AT1G01100	4652.17860922207	0.11801103388457	0.217958907451624	0.541437077586572	0.58820635677254	0.687612672349922
AT1G01110	200.42207245315	-0.491244372868111	0.180876794517846	-2.71590600760919	0.00660946795527224	0.0171802227648421
AT1G01120	381.794621608096	-1.05723331598191	0.173341189973472	-6.09914652220693	1.06636290120966e-09	1.32851044775704e-08
AT1G01140	1531.72231470007	0.497758274791784	0.335206606838248	1.48492978550382	0.137562424878421	0.220995513798045
AT1G01160	550.025406993747	0.427970972637124	0.154986523694389	2.76134313123263	0.00575641625368657	0.0152345339611252
AT1G01170	697.817952648297	0.786538463467724	0.20688827663847	3.80175462934603	0.000143674979039266	0.000608836947441927
AT1G01180	15.6562924448329	-0.750983207006561	0.558989207459924	-1.34346638000234	0.179121005269553	0.273271424862351
AT1G01210	283.508163009793	1.14645012512937	0.211851745955132	5.41156798099828	6.24752678736674e-08	5.57615077439599e-07
AT1G01220	350.558948554938	-0.217181771557627	0.16058606340402	-1.35243225317266	0.176237077414014	0.269640473924428
AT1G01225	63.8313550070253	-1.07448934915826	0.27425482855542	-3.91785025196425	8.93421766707998e-05	0.000400552400456604
AT1G01230	262.613236273595	-0.665820679658565	0.242537455755892	-2.74522826828322	0.00604688211926969	0.0159028854286627
AT1G01240	381.900913264084	0.668214824309893	0.190077039804445	3.51549469098091	0.000438935535756171	0.001628546954926
AT1G01250	67.4593910616594	-2.1626704001197	0.385608936950263	-5.60845507685588	2.04140670169229e-08	1.99871889284408e-07
AT1G01260	356.704040742069	-0.281009342438669	0.185443806707511	-1.51533419976591	0.129687791625748	0.210894359700448
AT1G01280	722.758412348363	-1.38225775700161	0.772759513197403	-1.7887295250269	0.0736583855906488	0.132392352884465
AT1G01290	264.29916149829	0.262176020571532	0.185206330017833	1.41558887618089	0.156895910074137	0.245479618593871
AT1G01300	1353.33818534427	-1.38255189669166	0.129970434973274	-10.6374337900459	1.99549627241683e-26	1.68350332824809e-24
AT1G01310	181.473474742387	0.527780138016743	0.333198301697066	1.58398207712531	0.113197797774427	0.188635163048083
AT1G01320	5684.0939494842	0.610154494953487	0.118635457436812	5.14310399383313	2.70235933751938e-07	2.1538365366697e-06
AT1G01340	54.7109126449671	1.35398278177441	0.423137815065891	3.1998623936827	0.00137493215150636	0.00442397855743431
AT1G01350	533.85326862805	1.38179628414561	0.289374059627139	4.77512146709374	1.79598816676674e-06	1.20158050038504e-05
AT1G01360	479.388783948499	1.20518873006238	0.279542872874411	4.31128405339038	1.62309238858406e-05	8.6825725969534e-05
AT1G01370	116.699238592015	-1.00039061025776	0.255390481868622	-3.91710216817076	8.96197733671271e-05	0.000401531342463735
AT1G01400	21.2986151810099	-0.65893193435825	0.488484222076745	-1.34893186837614	0.177358850962033	0.27103045154153
AT1G01430	371.913366793025	-0.067187354433028	0.18622577113359	-0.360784407142182	0.718260620141038	0.79545045638148
AT1G01440	219.526329739449	0.0398021018269096	0.177651825499731	0.224045554921528	0.82272185639038	0.874143704548259
AT1G01448	220.14342179569	0.882573518667854	0.27612123032283	3.19632618482825	0.00139189660868251	0.00447502243006528
AT1G01460	82.9831966571387	0.849720463805638	0.352214318295036	2.4125097126059	0.0158431153187483	0.0365093755707573
AT1G01470	441.322898922044	3.2772689160431	0.202457393432092	16.187449914702	6.18387412267559e-59	3.59230081892114e-56
AT1G01490	681.465064886711	-0.130619667218808	0.179177939164304	-0.728994137492738	0.466005248590824	0.575858470680718
AT1G01500	359.076136247354	0.266357361621479	0.199970070990433	1.33198613323602	0.18286474522579	0.277898647128393
AT1G01510	834.792909885136	0.225545086000985	0.149480298281852	1.5088616265383	0.131334148002655	0.212975426478703
AT1G01520	34.801165997355	0.598479274023536	0.523109433244607	1.1440804466313	0.25259027596337	0.35994291357494
AT1G01540	937.480408926302	-0.0697672665620967	0.205234656103303	-0.339939013647773	0.733902455660034	0.808451869458271
AT1G01550	1472.19334011291	-0.0559725522639109	0.167870458154549	-0.333427053689101	0.738811944487815	0.812149894859767
AT1G01560	17.6553103221914	-1.25413837307001	0.530302958133972	-2.36494696820676	0.0180326528952507	0.0407241917878749
AT1G01570	79.3710442803608	-0.773378111097257	0.247668230410195	-3.12263752931237	0.00179238341945532	0.00557143245442068
AT1G01580	75.4688788088447	-0.250648617961744	0.555677439052635	-0.451068552268508	0.651940142128529	0.741676755246042
AT1G01590	129.48651634038	-2.07268843493075	0.239891118035945	-8.64012161809252	5.61532138367948e-18	2.07206378172361e-16
