"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0015994";"GO:0015994";"chlorophyll metabolic process";"30/1258";"89/14111";0,337078651685393;3,78101498722781;8,23369783438835;5,76965895696837e-11;8,83282334866793e-09;8,00022567334657e-09;"GATA21/ATGLK2/ATCLH2/BPG1/ABAR/HEMC/ACD2/ATSDX1/CGA1/CHLM/CH-42/ATMES16/AtCLA1/GUN4/ACSF/BPG4/CYP89A9/NTRC/BPG3/BCM1/ATDUF3/ARR12/PSB29/PIF1/BBX22/NA/AtHEMA1/ATCAO/BGH3/AVDE1";30
"GO:0010207";"GO:0010207";"photosystem II assembly";"16/1258";"27/14111";0,592592592592593;6,64711770594123;9,18855644660755;7,3491043610131e-11;1,0313243119955e-08;9,34109843781402e-09;"PSBB/MSP-1/ATSIG5/HCF244/PAM68/LHCB5/OEC33/PSB29/PSBR/LPA3/MET1/NA/OHP2/HCF173/LPA19/PSB27";16
"GO:0007623";"GO:0007623";"circadian rhythm";"40/1258";"150/14111";0,266666666666667;2,99120296767356;7,67016083113846;1,53203846459603e-10;1,84282341027122e-08;1,66911559037567e-08;"abc1k8/LNK1/GATA21/AtCOMT/AtbZIP63/RVE1/ATCOL1/BG1/LNK4/LCL1/APRR7/BBX19/SHM1/GATA9/ATFIM1/CGA1/RON3/BBX30/ATCRY1/ATHAM3/CSP41A/ARR9/NA/LNK2/PTAC16/BBX31/ARC5/LNK3/LCL5/POAT3/NA/AtCCA1/APRR9/BBX18/STN7/ERDL4/EPR1/ATCCR1/CRB/LHY";40
"GO:0048511";"GO:0048511";"rhythmic process";"40/1258";"150/14111";0,266666666666667;2,99120296767356;7,67016083113846;1,53203846459603e-10;1,84282341027122e-08;1,66911559037567e-08;"abc1k8/LNK1/GATA21/AtCOMT/AtbZIP63/RVE1/ATCOL1/BG1/LNK4/LCL1/APRR7/BBX19/SHM1/GATA9/ATFIM1/CGA1/RON3/BBX30/ATCRY1/ATHAM3/CSP41A/ARR9/NA/LNK2/PTAC16/BBX31/ARC5/LNK3/LCL5/POAT3/NA/AtCCA1/APRR9/BBX18/STN7/ERDL4/EPR1/ATCCR1/CRB/LHY";40
"GO:0071482";"GO:0071482";"cellular response to light stimulus";"32/1258";"104/14111";0,307692307692308;3,45138803962333;7,84978463718402;1,97907013530519e-10;2,22183607190263e-08;2,01240184284718e-08;"TZP/ATSIG5/CSD3/SIG4/PKS4/APRR7/ATHB-2/ATCRY1/A-PUT2/BIC1/BIC2/AtBBX32/HYH/ERCC1/APRR9/SPA1/AtPIF4/AtHBP2/AtPP2C26/AtSOD2/ATCOL3/AFR/BBX18/PIF1/AtPGR5/AUXILIN-LIKE6/ATHPR1/RPOD1/ABC1/ATNDI1/PSB27/FBI1";32
"GO:0071214";"GO:0071214";"cellular response to abiotic stimulus";"46/1258";"193/14111";0,238341968911917;2,67348451773932;7,32341273496281;3,99107722793074e-10;3,95351414813845e-08;3,58084885651495e-08;"AtOxR/TZP/ATSIG5/CSD3/SIG4/AtSWEET15/UGT76C2/PKS4/APRR7/RDK1/ATHB-2/ATCRY1/ATKEA3/A-PUT2/BIC1/BIC2/DEG13/AtBBX32/mTERF11/HYH/ERCC1/APRR9/SPA1/AtPIF4/AtHBP2/mTERF10/AtPP2C26/AtSOD2/ATCOL3/AFR/BBX18/PIF1/AtPGR5/LHCB2/LHCB2/AUXILIN-LIKE6/ATHPR1/RPOD1/OSCA2.1/AT-GTL1/AtLrgB/CRB/ABC1/ATNDI1/PSB27/FBI1";46
"GO:0104004";"GO:0104004";"cellular response to environmental stimulus";"46/1258";"193/14111";0,238341968911917;2,67348451773932;7,32341273496281;3,99107722793074e-10;3,95351414813845e-08;3,58084885651495e-08;"AtOxR/TZP/ATSIG5/CSD3/SIG4/AtSWEET15/UGT76C2/PKS4/APRR7/RDK1/ATHB-2/ATCRY1/ATKEA3/A-PUT2/BIC1/BIC2/DEG13/AtBBX32/mTERF11/HYH/ERCC1/APRR9/SPA1/AtPIF4/AtHBP2/mTERF10/AtPP2C26/AtSOD2/ATCOL3/AFR/BBX18/PIF1/AtPGR5/LHCB2/LHCB2/AUXILIN-LIKE6/ATHPR1/RPOD1/OSCA2.1/AT-GTL1/AtLrgB/CRB/ABC1/ATNDI1/PSB27/FBI1";46
"GO:0033013";"GO:0033013";"tetrapyrrole metabolic process";"31/1258";"103/14111";0,300970873786408;3,37599364069952;7,57142096712318;7,00944399348837e-10;6,55772426946357e-08;5,9395814892191e-08;"ATLFNR1/GATA21/ATGLK2/ATCLH2/BPG1/ABAR/HEMC/ACD2/ATSDX1/CGA1/CHLM/CH-42/ATMES16/AtCLA1/GUN4/ACSF/BPG4/CYP89A9/NTRC/BPG3/BCM1/ATDUF3/ARR12/PSB29/PIF1/BBX22/NA/AtHEMA1/ATCAO/BGH3/AVDE1";31
"GO:0071478";"GO:0071478";"cellular response to radiation";"32/1258";"109/14111";0,293577981651376;3,29306748734703;7,5185938067077;7,5377214111425e-10;6,68080150334946e-08;6,05105724362631e-08;"TZP/ATSIG5/CSD3/SIG4/PKS4/APRR7/ATHB-2/ATCRY1/A-PUT2/BIC1/BIC2/AtBBX32/HYH/ERCC1/APRR9/SPA1/AtPIF4/AtHBP2/AtPP2C26/AtSOD2/ATCOL3/AFR/BBX18/PIF1/AtPGR5/AUXILIN-LIKE6/ATHPR1/RPOD1/ABC1/ATNDI1/PSB27/FBI1";32
"GO:0009642";"GO:0009642";"response to light intensity";"39/1258";"152/14111";0,256578947368421;2,87804890804117;7,28287929253599;8,87864687991046e-10;7,4758206728846e-08;6,77113648894224e-08;"MSP-1/abc1k8/LHCB3/APE2/CSD3/ATF2/ATMYB29/ATSDX1/FAD6/AtFKBP16-1/ATCRY1/ATKEA3/FIB/LHCA2/A-PUT2/LHCA1/OEC33/CAB4/DEG13/3-PGDH/ADS3/CS26/CAO/AtGolS1/AtPIF4/AtSOD2/AtPGR5/LHCB2/LHCB2/ABC1K3/STN7/PSBY/LHCA3/MET1/OHP2/PRIN2/AtMYB60/PSB27/FBI1";39
"GO:0015995";"GO:0015995";"chlorophyll biosynthetic process";"23/1258";"63/14111";0,365079365079365;4,09509930098165;7,70263265139196;1,67801792895641e-09;1,34561056779171e-07;1,21877091682097e-07;"GATA21/ATGLK2/BPG1/ABAR/HEMC/CGA1/CHLM/CH-42/AtCLA1/GUN4/ACSF/BPG4/NTRC/BPG3/BCM1/ATDUF3/ARR12/PIF1/BBX22/NA/AtHEMA1/ATCAO/BGH3";23
"GO:0006778";"GO:0006778";"porphyrin-containing compound metabolic process";"30/1258";"101/14111";0,297029702970297;3,3317854837948;7,35752569099368;1,87122755431336e-09;1,43233963702895e-07;1,29732474937802e-07;"GATA21/ATGLK2/ATCLH2/BPG1/ABAR/HEMC/ACD2/ATSDX1/CGA1/CHLM/CH-42/ATMES16/AtCLA1/GUN4/ACSF/BPG4/CYP89A9/NTRC/BPG3/BCM1/ATDUF3/ARR12/PSB29/PIF1/BBX22/NA/AtHEMA1/ATCAO/BGH3/AVDE1";30
"GO:0022900";"GO:0022900";"electron transport chain";"33/1258";"121/14111";0,272727272727273;3,0591848533025;7,11673404880249;3,30593824336823e-09;2,420521739927e-07;2,19235904560209e-07;"ORF313/NAD4/COX2/NDHD/PSBB/MSP-1/ATLFNR1/PSAN/ATFRO7/NA/NA/FAD6/CRR31/PGRL1A/PGRL1B/ATPD/PSBQ/ATPC1/FIB/TROL/OEC33/NDF4/ADS3/CURT1B/AtPGR5/PQL3/CRR3/CRR23/PSBY/NDF5/ATLFNR2/NDF1/ATFD1";33
"GO:0042440";"GO:0042440";"pigment metabolic process";"41/1258";"172/14111";0,238372093023256;2,67382242023145;6,90970281486956;3,55292503814447e-09;2,49296906843137e-07;2,25797735976813e-07;"ABA1/AtOR/GATA21/AtCOMT/B2/ATGLK2/ATCLH2/BPG1/ABAR/HEMC/UGT76C2/ACD2/CGA1/B1/CHLM/CH-42/ATMES16/AtCLA1/ATCRY1/GUN4/ACSF/BPG4/AtLCY/CYP89A9/NTRC/BPG3/UGT73C6/BCM1/ATDUF3/ARR12/PSB29/PIF1/BBX22/NA/ATMYBL2/MYBD/AtHEMA1/ATCAO/NA/BGH3/HPD";41
"GO:0009773";"GO:0009773";"photosynthetic electron transport in photosystem I";"11/1258";"16/14111";0,6875;7,71169515103339;8,40352017887913;7,77881908796032e-09;5,23981253765007e-07;4,74589846671769e-07;"PSAN/PGRL1A/PGRL1B/ATPD/NDF4/CURT1B/AtPGR5/CRR3/CRR23/NDF5/NDF1";11
"GO:0033014";"GO:0033014";"tetrapyrrole biosynthetic process";"24/1258";"74/14111";0,324324324324324;3,63794955527865;7,11781621221143;1,13924025361677e-08;7,37877148881016e-07;6,68323533397045e-07;"ATLFNR1/GATA21/ATGLK2/BPG1/ABAR/HEMC/CGA1/CHLM/CH-42/AtCLA1/GUN4/ACSF/BPG4/NTRC/BPG3/BCM1/ATDUF3/ARR12/PIF1/BBX22/NA/AtHEMA1/ATCAO/BGH3";24
