	SRX4240080	SRX4240082	SRX4240084	SRX4240085
AT1G01010	65.767000241585	60.0035448565227	41.6789485598662	58.1119341383147
AT1G01020	350.950391650033	276.199425835365	217.848055918556	221.109712569473
AT1G01030	102.203497675129	43.5849791158977	90.0400871343225	29.5878752974529
AT1G01040	404.408179741538	559.117860124413	473.23822862948	590.518645897793
AT1G01050	468.261041720085	456.276955679808	355.330697044283	573.371083498038
AT1G01060	126.277204159144	38.874845394942	44.1150257505146	64.0644553067096
AT1G01070	25.6085873302634	12.3279057862324	23.2089833550487	29.7155133797143
AT1G01080	1303.87426674435	1036.09728951736	1107.61442938725	863.119209242804
AT1G01090	2553.51339604661	2835.1674944707	2951.43469632408	3689.46212962589
AT1G01100	6888.65854717136	6464.35970959859	3984.32508144797	4645.79890762981
AT1G01110	78.1490964385858	18.4967084934501	63.7843698061645	11.4647040491189
AT1G01120	799.726722937673	548.782420666947	813.799131202811	720.587983315102
AT1G01130	17.5378667310893	1.25007385117756	24.0183771361941	6.45688157092385
AT1G01140	361.834688268708	587.839418993886	305.163457789648	961.625184135641
AT1G01160	247.005192577761	361.625340888265	361.381421546792	413.491262589617
AT1G01170	1446.51647153819	1221.44583564649	1258.46281582058	1369.09594056307
AT1G01180	116.626813761744	51.2530278982798	106.66985139898	109.766986705705
AT1G01190	36.8356314189851	41.2592822865523	28.9681431482975	37.4312766119029
AT1G01210	150.914025288396	164.31523245922	128.680370147741	167.155675403055
AT1G01220	277.379994206394	352.620035141249	317.127424933039	337.995825370096
AT1G01225	37.7064134718421	30.0017724282613	38.1468342751317	20.6620210269563
AT1G01230	234.130520860043	215.01270240254	235.238811363312	250.527004951845
AT1G01240	1676.37848816416	1926.37913475486	857.254751577114	1601.87808443594
AT1G01250	55.2442802029314	47.5028063447471	40.2661028459724	47.7809236248365
AT1G01260	231.805964852518	220.538594359419	195.593735973997	240.368327472913
AT1G01290	169.502309176041	98.7726405723728	175.725948786884	78.6183400758612
AT1G01300	551.565908692759	117.50694201069	841.349622623739	151.091028759618
AT1G01310	7.01514669243573	41.2524370888593	5.65138285557507	28.4102789120649
AT1G01320	2007.19308127302	3930.20131715705	3871.92081306289	4159.57004555748
AT1G01340	16.031994024148	24.124456561667	22.2471242738284	28.8565073206352
AT1G01350	210.454400773072	353.770899883248	271.266377067604	368.042249542659
AT1G01360	159.594587252913	390.023041567397	112.321234254555	375.790507427768
AT1G01370	89.4385994941494	46.9358178121767	112.248884255758	12.4286870328402
AT1G01380	20.2491607523247	8.84917357239689	20.2563856879184	1.65302549200555
AT1G01390	13.2526939811742	8.81657388954021	7.11755584870374	5.05026753798636
AT1G01420	155.979245857971	67.196556575848	84.9216673619479	38.7315495940175
AT1G01430	683.099909175929	575.033971541676	957.202971163028	882.010022588198
AT1G01440	188.53206735921	175.010339164858	200.624091372915	280.228660178095
AT1G01448	160.899154995652	164.562272704862	171.462977226193	184.217528917992
AT1G01450	5.2613600193268	20.0011816188409	4.94495999862819	43.9067946822822
AT1G01470	956.690630180923	2031.37000816353	1038.44159971192	1332.70035623868
AT1G01490	1128.63712073597	1284.31907528591	2276.11530339741	1686.58434842119
AT1G01500	463.876575037313	268.765878003174	300.229714202426	289.268294377388
AT1G01510	876.016443217912	993.808711686157	555.954788417198	947.870214611621
AT1G01520	1.82752580940178	28.0524293509539	5.72256013413824	21.3241819089429
AT1G01540	842.022641190728	979.008430754575	989.628931680747	1158.68989352866
AT1G01550	981.758463262589	694.577438890344	1118.7282339286	1059.16052721094
AT1G01570	25.493096028834	13.640673873491	23.1871251074849	9.68850843401015
AT1G01580	56.2702818295963	25.1427329854236	55.3182571052346	18.8765809356735
AT1G01600	91.1969070016645	81.2548003265411	104.550582828139	61.986063080869
AT1G01610	1332.00097822623	1630.09630193553	1162.06559967762	1714.94774523737
AT1G01620	5472.05650531293	6957.18707342379	6876.24151541079	9367.78681313957
