ATMG01390
ATMG01370
ATMG01360
ATMG01320
ATMG01280
ATMG01220
ATMG01210
ATMG01200
ATMG01190
ATMG01170
ATMG01130
ATMG01120
ATMG01090
ATMG01080
ATMG00960
ATMG00940
ATMG00830
ATMG00730
ATMG00690
ATMG00670
ATMG00660
ATMG00650
ATMG00640
ATMG00630
ATMG00610
ATMG00580
ATMG00570
ATMG00560
ATMG00520
ATMG00516
ATMG00513
ATMG00510
ATMG00480
ATMG00410
ATMG00285
ATMG00270
ATMG00180
ATMG00170
ATMG00160
ATMG00110
ATMG00090
ATMG00080
ATMG00070
ATMG00040
AT5G67610
AT5G67570
AT5G67480
AT5G67440
AT5G66960
AT5G66590
AT5G66540
AT5G66460
AT5G66440
AT5G66240
AT5G66090
AT5G66052
AT5G65900
AT5G65850
AT5G65490
AT5G65110
AT5G64950
AT5G64710
AT5G64680
AT5G64650
AT5G64620
AT5G64570
AT5G64510
AT5G64420
AT5G64230
AT5G63830
AT5G63670
AT5G63630
AT5G63500
AT5G63420
AT5G63370
AT5G62990
AT5G62370
AT5G62290
AT5G62200
AT5G62190
AT5G62040
AT5G62030
AT5G62020
AT5G61880
AT5G61380
AT5G61330
AT5G61030
AT5G60990
AT5G60870
AT5G60670
AT5G60610
AT5G60120
AT5G60100
AT5G60040
AT5G60022
AT5G59980
AT5G59720
AT5G59570
AT5G59440
AT5G59320
AT5G59310
AT5G59220
AT5G59010
AT5G58787
AT5G58770
AT5G58710
AT5G58590
AT5G58570
AT5G58370
AT5G58110
AT5G58070
AT5G57790
AT5G57655
AT5G57565
AT5G57280
AT5G57180
AT5G57140
AT5G57110
AT5G57100
AT5G56940
AT5G56870
AT5G56850
AT5G56700
AT5G56600
AT5G56550
AT5G56520
AT5G56500
AT5G56380
AT5G56100
AT5G54960
AT5G54940
AT5G54930
AT5G54910
AT5G54580
AT5G54530
AT5G54250
AT5G54165
AT5G54080
AT5G53800
AT5G53770
AT5G53730
AT5G53486
AT5G53160
AT5G53150
AT5G53090
AT5G53080
AT5G52970
AT5G52900
AT5G52890
AT5G52640
AT5G52470
AT5G52170
AT5G51970
AT5G51730
AT5G51660
AT5G51600
AT5G51540
AT5G51440
AT5G51170
AT5G50930
AT5G50810
AT5G50450
AT5G50240
AT5G49990
AT5G49840
AT5G49645
AT5G49560
AT5G49450
AT5G49390
AT5G48480
AT5G48470
AT5G48412
AT5G48250
AT5G48240
AT5G48030
AT5G47860
AT5G47830
AT5G47680
AT5G47610
AT5G47550
AT5G47455
AT5G47370
AT5G47160
AT5G46250
AT5G46180
AT5G46100
AT5G45780
AT5G45140
AT5G44780
AT5G44660
AT5G44572
AT5G44490
AT5G44010
AT5G44005
AT5G43950
AT5G43920
AT5G43850
AT5G43820
AT5G43730
AT5G43300
AT5G42920
AT5G42900
AT5G42820
AT5G42670
AT5G42300
AT5G42146
AT5G42060
AT5G41970
AT5G41760
AT5G41270
AT5G41260
AT5G40850
AT5G40840
AT5G40770
AT5G40600
AT5G40520
AT5G40490
AT5G40480
AT5G39940
AT5G39850
AT5G39840
AT5G39790
AT5G39610
AT5G39410
AT5G39350
AT5G39210
AT5G38890
AT5G38860
AT5G38730
AT5G38290
AT5G38070
AT5G37680
AT5G37670
AT5G37570
AT5G37500
AT5G37400
AT5G37340
AT5G37260
AT5G35910
AT5G35530
AT5G35320
AT5G34850
AT5G30495
AT5G29000
AT5G28640
AT5G27860
AT5G27850
AT5G27660
AT5G27620
AT5G27460
AT5G27400
AT5G27390
AT5G27330
AT5G27270
AT5G27120
AT5G27110
AT5G26860
AT5G26800
AT5G26570
AT5G26160
AT5G25756
AT5G25755
AT5G25560
AT5G25450
AT5G25280
AT5G25270
AT5G25130
AT5G25120
AT5G24870
AT5G24780
AT5G24770
AT5G24470
AT5G24160
AT5G24155
AT5G24150
AT5G23690
AT5G23660
AT5G23570
AT5G23310
AT5G23240
AT5G23230
AT5G23050
AT5G22730
AT5G22650
AT5G22640
AT5G22608
AT5G22100
AT5G20720
AT5G20670
AT5G20160
AT5G20150
AT5G20020
AT5G20010
AT5G19875
AT5G19860
