	SRX4520740	SRX4520741	SRX4520742	SRX4520743	SRX4520744	SRX4520745	SRX4520746	SRX4520747	SRX4520748
AT1G01010	81.7881192453898	54.1932011483709	71.8669320924444	52.0999884215052	44.6140700507074	39.2707445305631	111.267649186869	94.5828306993416	81.0885487171193
AT1G01020	124.704295251057	112.572530161181	107.066040884193	91.9653668270946	79.371662758051	97.6871025091131	106.335561364043	131.298343171925	130.275013029458
AT1G01030	10.4474880601067	5.37640290927493	10.3072663686446	66.6621141258345	77.1484339890185	36.3824974267376	5.34516809423349	6.80099535083513	26.5834202365618
AT1G01040	605.47769241345	568.227761467782	590.666996114256	408.996900429864	546.584215869595	529.923546793998	611.379965199547	538.168202770178	686.839460961363
AT1G01050	649.508586491158	670.926384618748	640.810188206571	634.627165737007	620.620547889892	737.066241996465	655.964744144336	543.887224546503	657.317762767152
AT1G01060	1.79877140491583	3.74859611129542	4.19141973069103	57.9668039445259	70.2228239446401	28.6782282245188	30.8078698199686	26.7438406406488	27.8843304083148
AT1G01070	81.3793112588335	56.6866579019015	25.6519107932624	42.5056176534604	101.082699826162	62.3286795189058	78.9634332259832	70.3314537924288	109.332681064285
AT1G01080	904.742025502914	1111.93246783904	1151.19432870809	1244.48831972981	1145.51579053837	1414.20648220118	889.665570680036	933.58004105225	622.166300426164
AT1G01090	1695.03732049533	1776.14319642995	1834.25103996447	2848.3587128931	3072.01484619923	2829.13861680526	1389.14344964572	1204.99233162911	952.601594536313
AT1G01100	2190.76461087722	1722.04624045043	1874.21859771357	1575.07640351294	428.460721942597	1250.82844724938	697.597372358211	742.229397303774	1709.50835992576
AT1G01110	82.3062916645229	78.6168787978407	77.4703325470055	92.7797392455919	71.8541684749367	87.113921249398	16.1105931260941	19.8926152587018	103.737379399441
AT1G01120	457.438611267555	665.129818985498	534.983234718637	1187.61906644014	2308.35501350189	1128.29445470312	2053.46281757631	1312.55726915708	442.000035795362
AT1G01140	968.129105984897	951.207818459673	976.580432520004	572.385428965671	861.957132150934	804.174931297738	1508.62864543801	1461.65811882871	594.857566002427
AT1G01160	320.233957221681	280.221533249354	299.517588821943	504.537104750979	472.074251368351	465.458570412495	704.716572910188	692.712899019612	635.076951869384
AT1G01170	924.203108720576	994.401049938401	872.705193442892	934.543805015644	807.885522638032	850.758524084821	755.779847578774	784.096232165305	681.322255728171
AT1G01180	106.330468880131	119.60887214416	94.6949175175953	164.970288624147	218.393658728461	195.073004733288	100.609150377067	78.9025909947543	42.4332231643093
AT1G01190	23.4513300986306	9.33312051687982	18.1309715060924	71.3435876046321	102.914992275763	71.1530654391641	2.10837133247997	0	3.97232769854554
AT1G01200	14.3854595543808	10.9309599075374	13.1028845071492	10.1301058906278	5.20215867331988	5.61927571369066	3.13576465902608	5.54473906051346	10.81787893954
AT1G01210	190.532936767529	164.592559843338	169.924967049236	55.9630021480973	42.420813711417	75.3228468977155	103.519178616145	120.880849270364	173.677003386328
AT1G01220	359.345908220087	463.939821481655	441.536979241201	366.045377788293	377.919572383874	382.368043377571	456.591475855956	446.13995998993	322.598387865961
AT1G01225	23.8750769600084	23.5192827547973	28.9488147769766	30.2993747314131	7.77001830797629	25.3061811129677	6.25871504135532	8.85694620533581	29.4250802554805
AT1G01230	365.263366501257	458.436326204752	335.907619748442	260.697613277449	306.337684569321	249.290492529321	236.652352029748	238.177886708051	200.755755990022
AT1G01240	390.592060724164	412.227396341486	315.641544867526	855.876047278797	1095.00055903853	799.32244018285	690.514535748155	594.217182660484	541.105012903742
AT1G01250	93.279741563018	113.904867100975	85.8847203986656	11.1488184480601	46.1891283559792	104.205884149511	286.613311756323	305.561037113933	68.2608929686517
AT1G01260	201.164654861932	211.632059410639	223.682368347297	156.885011111761	190.782292370386	186.220368567998	148.278801796195	189.663286725226	194.018258976604
AT1G01290	136.045011665573	149.079785304178	134.634838561418	279.203122936855	281.246772801264	228.216017149895	303.798008915147	349.935081671897	282.075361684716
AT1G01300	974.680006566513	817.078449342128	812.768460966912	885.652129917289	495.155569529205	646.132073005069	167.185012524192	166.024344974213	584.736033485067
AT1G01320	4752.40576111113	5237.29633295422	5381.38668428414	5462.71574388403	7515.44963601111	6385.49401459756	6842.42692292551	5966.46938429382	4261.11999642283
AT1G01340	51.2233632809651	64.7980148554264	55.6045498097621	15.4254147964023	12.3940453345976	20.5760792772358	12.3726541028614	6.55391449741763	7.24857522231046
AT1G01350	216.48116143448	169.379573087572	221.619725128992	342.276019733561	226.151520760801	238.59566761453	249.380414396793	255.561637455805	296.96055151481
AT1G01360	274.185448035882	257.858809839292	273.634468865398	127.116466673594	207.917032461772	229.019220079572	226.731988096288	270.498262285902	199.538062205404
AT1G01370	56.5775420409171	33.52992092897	46.3921267188331	77.717754269192	12.1017830865531	47.5317606415228	3.22046155140098	4.0126724510395	19.0586262955974
AT1G01380	12.4952523217971	15.5555890525696	20.7362039175666	6.4465238266837	3.69630731424761	2.48758741678054	2.70043458760168	10.0404575083454	16.565914359463
AT1G01390	26.8844729202183	31.2517186416494	46.3101384413409	57.2580983101065	169.943938160513	141.46466425976	38.0741758907411	25.8672343818632	6.99826661995603
AT1G01420	86.3332759893603	105.857281171741	85.6080933803775	92.6665632749963	117.141038047801	98.7369785402473	178.823338810242	129.679047686131	69.7944314037272
AT1G01430	347.952889163311	472.7293459873	369.955398396924	1091.56805759952	1479.65882687987	877.307856918575	423.850486322107	366.663449972561	407.46471089942
AT1G01440	275.367061876506	298.984023258905	287.031822223938	247.09172923254	367.591621217354	256.294444187946	179.093521919033	212.033938215805	204.673286254015
AT1G01448	111.97054146862	96.5332682793875	106.183415112401	209.072414286246	295.966069609661	236.448956014784	158.867352957744	168.1106572672	241.823771509777
AT1G01450	23.6484209735172	17.8769251838884	13.910886374379	10.1638529523006	30.0547170391701	26.6684747332644	36.6668213369106	37.7730630580053	56.2215409516944
AT1G01470	2945.14858279641	4448.30289476795	3972.30902910623	801.086292484234	1525.58084531285	1615.93245687806	5671.46914213502	4373.94233537529	2477.67153880099
AT1G01490	686.511670456229	703.893157002947	576.76693383777	1072.00654332415	1175.46300391066	789.481944735876	956.660214656149	908.378432699901	575.138577735498
AT1G01500	266.777313968137	274.582786206789	233.559583659821	206.275148116059	269.259131161001	286.063615149903	345.508974988526	409.639892250379	245.39107260237
AT1G01510	514.26884160595	517.642608928085	537.51684149389	434.738931458327	500.754113924849	474.844206826641	399.128502999119	382.665866296646	698.141263749461
AT1G01520	2.95480291652424	3.95390939651093	4.38418020245639	21.4361470557894	107.938060405635	42.9145410466712	284.364872301607	297.206078141957	168.538498750845
AT1G01540	891.750288421975	961.568643935314	826.807528161686	1300.79478231564	1625.35166897913	1235.50799572817	959.173558298242	1099.64870629427	917.432740888083
AT1G01550	1215.15712870384	1239.11693463572	1149.40531927721	1180.15736683517	1787.04680232258	1614.51416219367	1584.88825965973	1535.74713166301	1186.19845200954
AT1G01560	123.515344412829	83.5846736740373	93.3376303994485	12.4500810896193	0	5.61223716086683	1.04925520747277	2.22479673313726	0.98829816309273
AT1G01570	22.8749458246257	18.5435256455263	28.5145404410371	27.2225148799741	31.5585695160754	33.6474831741097	32.5728959483897	51.2268933357593	44.5575580379725
AT1G01580	20.3265186384777	10.0120511201655	9.47260941962942	11.3952472019526	30.4278023118506	15.4278724677786	47.4510119401666	36.8637342901532	53.0749798102778
AT1G01590	12.9189996800629	10.7687723862197	17.2014927426465	9.10412170816291	3.96352847475015	14.0073533212406	14.7431412298631	7.8093410838599	9.93054041912517
AT1G01600	209.495457841686	103.219913708183	171.408805377944	13.6418135712093	1.31917893347921	33.627223581856	21.0466633811115	14.4947970401388	44.6459108466377
AT1G01610	634.744967382286	771.666200815458	652.195612625192	574.055279612315	754.990634617719	549.546392860768	854.365234856882	779.623790682382	559.543020026146
AT1G01620	3878.44448887403	3771.87033242218	3492.91149945169	3892.08431448204	3952.08912517012	3410.41414010577	1719.32339749197	1633.9592879595	2603.03932729552
AT1G01630	453.115460598481	637.416108749318	535.816785241332	762.915395632001	658.055783465001	470.105898495427	546.116485317152	413.467424899025	198.399023101748
AT1G01640	58.3370671300907	41.466827384139	25.3868324762873	43.8054394685036	85.59249488259	35.12464611455	29.2926695312193	37.655215863554	63.8031288472332
AT1G01650	759.397767339249	774.356398712608	828.332381942371	259.125706207455	315.897247503193	336.221939797419	560.777552106086	563.958627668969	619.414944079872
AT1G01660	22.846854267389	17.7511503451848	25.8924422672957	26.1095887027836	15.7978061054059	18.221729275723	29.4369672103246	36.7660625374316	75.3071647228128
AT1G01670	40.7214324867195	33.1795786697387	35.3089322953544	40.9191206655043	64.3607295703383	42.7095995429522	57.8970082070758	50.7974467915014	100.113229661539
AT1G01680	26.2851350330072	21.8739592264547	10.4883031777824	4.5004488691271	1.29979041743886	2.80993097978451	1.04496676430053	3.32610364119403	0.983091396654018
AT1G01690	65.3568209508442	48.9485666946645	53.8243908962189	83.6372886810967	43.0791424599282	48.116460496544	28.6967601817607	24.7299235237249	40.729158546391
AT1G01700	22.478074247098	22.4012801184448	14.0947367009471	11.3607243530966	30.607187253644	19.6440982005836	28.7165932047855	20.9398958953868	52.5432342130012
AT1G01710	367.366449700339	424.966319292177	407.760229541414	467.818493309897	503.955559621901	563.799296608712	576.325204778024	495.198467464083	503.391041761529
AT1G01715	1.83315782776816	6.09334923590927	1.70517158789663	8.58163875823118	8.64028034002948	5.42185655388087	13.989763292207	22.4639883929685	18.7659784092767
AT1G01720	367.595572233248	283.470527509329	352.559430945305	293.256101110439	447.257424899425	335.230995868268	849.027472658508	1032.45028664793	894.699334110924
AT1G01725	159.788873924235	134.535016028295	128.384511553276	39.734790620828	38.8981394851933	54.8915684350235	99.138488678523	120.940395939456	80.2159146943027
AT1G01730	244.626611536603	235.07962415997	216.695615802136	163.174627725574	158.620629966698	154.538057475771	141.090176663561	114.209066265601	163.222720821534
AT1G01740	53.8356161870425	40.1946036083484	31.4834201027832	70.3604585300188	78.8332336239354	66.1047266982491	60.7697497946726	83.7153950280339	54.821588079561
AT1G01760	19.1702307588046	19.6386977182805	25.0537873867883	39.0280468169363	41.1724744253481	32.9771611222099	21.1765187272789	25.9100597152087	37.3803323562224
AT1G01770	267.330017798472	272.607267948967	252.300697350886	299.046243221092	370.801783637605	330.648837564851	528.346636521979	551.980442323856	516.996866940064
AT1G01780	68.3188362151046	50.4831903956015	67.0956422608993	194.386358171226	158.272602277264	109.783752663295	193.42451227878	244.064464424537	233.486715434085
AT1G01790	1420.85670351756	2091.87632911022	2060.30296602129	1045.33032371759	2790.20000514058	2979.52938144649	984.316971176148	891.533346411623	602.285348512371
AT1G01800	788.130194580736	821.185819931351	841.051940427805	869.467896597226	996.57050063471	778.818646208099	940.375659891532	940.266825776368	677.632010186519
AT1G01810	3.91512897412963	4.05583409253384	4.54403154810744	16.4259779681645	7.50446605956215	5.64864369101243	9.23020364886179	10.9188438254946	17.2765901087141
AT1G01820	720.658484288452	728.233357037907	635.877162358782	557.727851175991	722.856325036153	698.009608706018	661.063067631305	649.100285772081	614.226578122292
AT1G01830	415.676827140875	346.999014656122	354.628018325334	334.594281137412	239.363472280408	253.809769100743	963.722219231625	919.763642808773	524.040704432058
AT1G01840	15.9508366510224	17.4879685186599	9.78931043254829	32.2159455370562	12.7653300095529	26.7772921450334	15.5383747847039	16.5136500499729	13.6089413009134
AT1G01860	116.194573129271	132.875039330307	127.51459076093	3.4849915446846	10.9952689750902	12.206141937332	3.40281640954649	153.785192191542	4.87706411836626
AT1G01880	34.0462912679477	21.0207984126461	25.3931333017975	36.3066873715851	18.5699159728866	22.487725924755	17.7893918922472	19.84108097435	37.2629377110132
AT1G01900	112.588665302774	103.079832423277	130.740947898297	54.6218808354247	52.8430833217418	70.0377571176508	74.76615518702	41.2767806645002	204.559711419004
AT1G01910	538.710453766314	581.202842935559	610.810698169703	480.310667459098	442.78885191821	632.135403785365	365.281633658888	364.886550583345	306.7506070912
AT1G01920	173.521624693589	158.451495557898	162.412573257728	182.47894884635	131.435179309619	152.420837681628	212.810202986396	271.730693682657	381.178782121226
AT1G01930	149.952808882171	148.869637109135	181.138914205896	206.693860315184	219.986507074116	211.6283203598	227.15025116239	249.62097941663	206.180972281878
AT1G01940	124.498010315794	108.465667894267	105.462422655557	112.528780677807	87.1648114406329	101.405097089354	212.786615764234	228.259975473923	243.646109972474
AT1G01950	240.13768732069	214.281936686916	230.138589928313	180.006932753971	183.938131530381	236.652565360494	183.374016163182	184.188280978435	182.901815827039
AT1G01960	1377.51285734881	1562.73611540627	1486.19008483497	790.749923513635	1056.57003936385	999.001187945866	944.065310805136	837.454134531359	867.09595265399
AT1G01970	309.717737017087	363.777637269685	370.494722070191	708.010588554752	528.947383114627	597.44711176785	376.887450589332	353.88654489471	309.571292284243
AT1G01990	189.561682343654	186.321705056357	201.460732230183	405.776979530071	502.406266579303	454.663979686539	537.747930325212	567.976517330866	478.743853070034
AT1G02000	146.264828606162	141.940302798046	131.984963810234	198.730924678952	276.603426423288	186.404422907866	130.395226058964	137.063732556886	131.829153179195
AT1G02010	95.051368673467	128.055510238363	115.531711273821	171.854981113135	192.700908428577	194.278488618513	127.251800787646	145.459127922705	150.179056079494
AT1G02020	216.170349728492	254.966444774336	202.96633554142	296.611284413334	546.547658668562	388.631184731154	436.199895369785	419.310799646459	357.794274699426
AT1G02050	76.9940604378248	44.2132131396243	52.0552294806268	87.0882376143921	74.6437019679422	75.7646487671239	91.2363450181838	101.181596299589	114.568019901716
AT1G02060	68.436573323173	68.5950028286405	76.7048874320551	73.8626089617243	119.974014486079	93.8864674157952	104.151879883104	115.932388639202	148.765365968248
AT1G02065	150.544012738339	38.3304437308568	94.3887269490145	80.2532219032458	0	65.2735006539726	0	0	187.311418884418
AT1G02070	10.0910195286924	13.3536178212764	6.15656441663963	3.27716348447053	0	1.3892943671938	0	0	21.033978485131
AT1G02080	1406.89958491429	1486.72717812345	1512.55923029063	983.362317194791	1316.97603483592	1151.12032771729	1485.03953432356	1262.68479012708	1612.49392369333
AT1G02090	361.215576047863	342.066345686086	328.868865887496	417.45608782378	388.042239709489	372.072994257639	412.111976604824	405.466933546949	579.099417356801
AT1G02100	445.250377763428	440.46917756974	369.499005976218	457.588283242764	600.151900247032	460.349354761614	480.041833800836	487.231879312575	593.206834405758
AT1G02110	340.756768744726	293.497948811391	306.656559239592	400.145338179217	433.987238002584	491.802963381536	231.507619252728	258.671289123701	557.559944319505
AT1G02120	1189.30223102352	1234.76781401107	1197.96438638364	644.069786428967	900.788522215976	715.63642044823	568.549078948265	516.77860977263	601.846121686198
AT1G02130	381.510437958059	368.8249293682	397.786187300701	715.449373063345	792.205138806739	588.943768631958	443.583430810595	448.593490096209	405.390850317602
AT1G02140	1302.33963202526	1337.39291985081	1287.88268809847	1545.17126934997	1279.09432843185	1207.03128700525	1494.59674131129	1719.02465412846	1856.42365229586
AT1G02145	181.4685875091	196.935906547586	183.610306002087	227.211503515296	234.571459825769	200.423503326562	255.293750015753	219.057914810479	225.16160018058
AT1G02150	1194.63919772369	1248.38732960076	1310.59807086724	2202.89678421532	1927.98900806739	2427.85024554018	1361.24007811741	1437.03264753265	1158.09904141377
AT1G02160	445.139525737837	450.443977831348	448.356822259344	146.529439069446	81.6352635149865	141.003781637438	86.6110063238505	106.024876902867	94.0571989348055
AT1G02170	332.702097520534	368.17751588191	377.943658570344	286.985489524119	360.906355402485	349.452960278799	412.899506193592	333.380041847956	254.585515755271
AT1G02180	64.5909830871931	57.6364750705697	59.2081314824372	68.1000075048643	53.9913927756965	76.0170658650721	50.9318661475046	49.6773899209485	93.7278666626161
AT1G02190	103.804970241097	10.7494993353867	57.5265819909452	86.0090773647756	8.01887431110681	29.3117246283887	1.06670692030713	1.11024214359785	38.5213450293455
AT1G02205	2076.53063054114	2899.30554689098	3008.13016566333	5034.27305831919	8152.63271835821	6607.98694753834	13424.1067065372	12707.601104316	7542.14644944491
AT1G02220	24.1972532383521	18.6031585695569	14.7383460518639	43.0005866164606	52.4198742144166	19.6400340684847	29.3736078759647	27.8048978355718	16.7977324619306
AT1G02230	9.33072829750375	17.0927621091681	19.1194487421625	11.2965246654383	1.30728159176741	4.21048376497914	4.19133966207002	5.55576480453466	7.89281626183203
AT1G02260	327.615484462691	387.839533924492	370.387083509101	163.484004446934	234.96880227456	202.618102158674	272.266036830925	305.556982043263	253.634296198628
