	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	16.1823094279639	-0.661781778014836	0.50230101749787	-1.31750037320528	0.187670956055812	0.3851215836285
AT1G01020	29.6175256623245	-0.230945969499035	0.358608788144124	-0.644005325954864	0.519571980345768	0.717443296943591
AT1G01030	23.3940691008067	0.347301366660968	0.449935715026485	0.771891083686309	0.440178938676375	0.652939369691923
AT1G01040	141.893044143556	0.0343155799449218	0.208956428172571	0.164223614679045	0.869555111653659	0.940182403326414
AT1G01050	161.443631617354	0.470373212745118	0.205033195150969	2.29413199359633	0.0217829181384058	0.0804980295383179
AT1G01060	400.126227410028	5.54970954558678	0.444500554979738	12.4852702283797	8.98378017639133e-36	1.09016508777513e-33
AT1G01070	12.9843601559768	-0.199544438936614	0.512370890149857	-0.38945311447778	0.696940987472174	0.842341790334618
AT1G01080	228.905847030403	-0.161737370460076	0.183183903408773	-0.882923485363015	0.377277613555127	0.599240048987792
AT1G01090	441.449099441151	0.193190434202251	0.146578903139871	1.31799617860355	0.187504927150245	0.384968039552862
AT1G01100	544.869012646425	0.232663097437799	0.162530232071352	1.4315065847913	0.152285081144432	0.335674676979021
AT1G01110	9.48970958752496	-1.3719474545457	0.644318599051659	-2.12929978517616	0.0332294655720664	0.11132329237944
AT1G01120	434.100156001057	-0.340437247208089	0.232665811165697	-1.46320271767665	0.143411917391869	0.322583280339639
AT1G01140	341.372244765968	1.58324458577855	0.200557504077984	7.8942176362692	2.92141994107932e-15	9.74718970972737e-14
AT1G01160	45.9626934955963	-0.742090074093927	0.293040192090951	-2.53238325022529	0.0113290090028008	0.0479317731105068
AT1G01170	145.301310994088	-0.279368439876644	0.196060824683183	-1.42490699163424	0.154184088345057	0.338857490645119
AT1G01180	30.8329542296516	-2.20619118402888	0.41377288984416	-5.3318891550865	9.71962640511079e-08	1.44883457478185e-06
AT1G01190	22.4634163337277	0.150069093473194	0.423256200144144	0.354558523707595	0.72292035313842	0.857549748145051
AT1G01210	37.229226961027	-0.162777665645041	0.332278235416527	-0.489883622503866	0.624216252778248	0.794554052293183
AT1G01220	106.953745734719	-0.374496347292233	0.209160222842251	-1.79047594329003	0.0733774312360488	0.200344846418159
AT1G01225	10.2734158366533	-0.755901733159747	0.579048529231957	-1.30542034907224	0.191749752988625	0.390216702293125
AT1G01230	136.031157029793	0.0820508888908862	0.20397152533449	0.402266388685049	0.687487988071219	0.836032045651925
AT1G01240	101.620960259487	-1.19996172784523	0.229553555952642	-5.2273715511198	1.71936766166616e-07	2.47076149415921e-06
AT1G01250	11.9625016908854	-0.680103184381442	0.603818356396707	-1.12633737808166	0.260022742192637	0.475265329123103
AT1G01260	105.812490231611	-0.286588485660618	0.235914874014743	-1.21479617110835	0.224443841560184	0.431792960546771
AT1G01290	31.2345530456947	-0.0741838004176306	0.356527276711549	-0.208073281522439	0.83517174883929	0.921518393580201
AT1G01300	406.833317339453	1.00366616862595	0.177441573011498	5.65631915673402	1.54653767084143e-08	2.58260755593519e-07
AT1G01320	1608.26619820096	-0.313747840740893	0.138858224303712	-2.25948331338776	0.0238533371336483	0.0863569876073871
AT1G01340	14.1293070242323	0.110102232004747	0.500261507932034	0.220089353785952	0.825801565987416	0.916273109665857
AT1G01350	51.4106412913152	0.0870104772812504	0.302711778465924	0.28743670868111	0.773777957047207	0.888104756324593
AT1G01360	53.0473277745065	0.263829603593413	0.273669228773863	0.964045555196192	0.335023087014154	0.556345485196743
AT1G01370	13.7715784064478	0.303258908272681	0.501865110776279	0.604263778774349	0.545668283794026	0.738893852299035
AT1G01390	24.1945481540921	1.41869275269045	0.403557565097482	3.51546563709629	0.000438983565271799	0.00312942940221176
AT1G01420	92.0078507417898	1.99454260116749	0.276179191253577	7.22191484490293	5.12605707201665e-13	1.40192098420328e-11
AT1G01430	281.924500882603	-1.05558904538016	0.179627295844305	-5.87655144736526	4.18901259214389e-09	7.63341538203573e-08
AT1G01440	93.4027096379892	-0.462858121605612	0.229753500095477	-2.01458572519359	0.0439480744120674	0.137317824722199
AT1G01448	14.6064146868673	-0.972946387693359	0.512040474022718	-1.90013570616723	0.0574153129863399	0.167029313902286
AT1G01470	2121.94601199294	2.38813639849791	0.1672832375682	14.2760053739651	3.08802008898331e-46	5.95152295267347e-44
AT1G01490	116.693358939882	-0.983179649459703	0.230200657515705	-4.27096803315007	1.94626307492404e-05	0.000194057709637283
AT1G01500	159.182998529706	1.15646160054704	0.193454394472621	5.9779546683325	2.25956587063802e-09	4.24011547454663e-08
AT1G01510	177.001978927843	0.127452145874077	0.187528194951585	0.679642578050636	0.49673080291553	0.700667430458684
AT1G01540	361.153324083234	0.785709218482073	0.150076924857433	5.23537658589729	1.64648811250179e-07	2.37295849732206e-06
AT1G01550	572.792580076992	0.600797775182728	0.14707793459486	4.08489401783946	4.40969390832565e-05	0.000407442784016869
AT1G01560	26.8487671244526	1.62931317689943	0.420960689220928	3.87046396164638	0.000108628415491374	0.000920615986849297
AT1G01570	9.6042091312164	-0.297097653094666	0.598115856342784	-0.49672258299803	0.619384694972457	0.791857245692804
AT1G01580	11.9498528859967	2.49411440042416	0.680393477942601	3.66569416268651	0.000246668577487752	0.00189447943572638
AT1G01600	89.9680564481467	0.306633573363577	0.259241573895793	1.18281018262462	0.236884384093311	0.447594000024986
AT1G01610	378.827293450124	0.428053466553262	0.159459086064624	2.68440938122388	0.00726580771707428	0.033500833667636
AT1G01620	1776.31033538318	-0.124483923458919	0.174521350544872	-0.713287646871106	0.475667779985645	0.682584930949968
