	SRX7222833	SRX7222834	SRX7222836	SRX7222837	SRX7222838	SRX7222839
AT5G01520	104.288554903147	56.7254586069751	74.896439973417	77.5222456568814	93.4694194331166	87.3870006523898
AT5G01530	10354.717428859	12964.879737739	12989.5483993473	16337.9097039513	14065.6387336616	12163.8689751292
AT5G01540	11.1083370198209	16.1058884534232	14.4371536074445	24.0498699017137	16.4121551633658	61.092720200587
AT5G01542	14.5264608272184	9.84078602665579	16.3634096513847	8.01745436829273	11.3623606797504	7.51887019714281
AT5G01590	253.758929059936	327.929925031685	321.267146929132	286.075866966977	286.561781283352	300.837281701417
AT5G01600	1221.53601333932	1230.4310173907	811.623150563057	957.140174880669	671.482340914832	957.57215729516
AT5G01610	19.6346983175798	9.06607166344604	9.56709993003999	11.3629578386004	22.7090677424777	13.1890642817014
AT5G01620	42.1334003641326	27.7556747299192	36.7213986105936	22.0079983387685	41.3873146659403	23.64096577869
AT5G01630	29.056359171285	37.5096036572009	28.8993986988581	32.1028024345968	34.0900246848198	29.1266282338552
AT5G01650	151.63526426818	179.319391919023	142.947157694602	195.611012565997	169.554760723499	159.795378378437
AT5G01670	21.9783234969491	36.7403723132994	26.7699798902556	22.7856271405557	19.1285003171499	17.1072785803792
AT5G01710	173.44938091023	126.284168761772	180.865602118276	153.372656555323	185.574545869196	141.947612171534
AT5G01720	85.4547756941903	82.2350691116065	76.0713948031089	52.7129083397484	53.026617805348	62.9609334366412
AT5G01730	38.9157406275269	62.3597288735021	44.4473389298922	105.559207679229	113.51253786568	84.7560866179625
AT5G01740	11.0977349784449	8.1604634541486	13.3932197281002	11.3621586959377	16.4009103351355	5.65256451195967
AT5G01750	1070.27113744565	1159.78473179906	1242.14888678781	1113.52227733072	1055.87187702872	841.842227051543
AT5G01770	33.0741546556513	26.6982740807361	24.0461724559588	45.5826084743923	27.573157349094	31.1111082662978
AT5G01775	12.7951036420208	6.40737839251444	7.62147757819317	15.8173684741413	8.8272753444109	12.2666070135745
AT5G01780	66.5441779402667	51.9856478807176	54.8466813391025	39.6023384903277	71.0768843960515	72.7614514386533
AT5G01790	35.8728094306574	20.708583250626	24.9527455958482	35.3699514836949	26.5034492493415	59.2790223744063
AT5G01800	172.558802793795	147.325070577517	163.323289734458	188.515688211266	171.661646818054	158.013286066773
AT5G01810	72.3332634184247	56.254297825426	80.6426406507244	275.391944366223	392.620920938245	118.43704858929
AT5G01820	83.7357858062733	57.3046896849025	68.3142822768841	68.6856567954801	82.0579204450848	94.0003927248224
AT5G01850	16.6194777592508	10.0958821716151	14.1347154542483	40.8369898442751	23.4999653362504	49.9344023882859
AT5G01870	26.4488968854111	20.0879766731817	16.2130444924145	11.3147128387479	6.30593717338527	27.3526739816205
AT5G01880	23.9149080956364	13.4875921106059	11.522030327905	4.56677335419208	0	12.2282778816062
AT5G01890	58.1129288836485	38.400669633432	67.4335649245747	48.1557248943871	45.4534862432076	31.9450308063687
AT5G01910	11.1524509556043	8.91453298023594	11.4331800279161	16.0319378076757	11.4090106127252	6.61794601072015
AT5G01920	140.081178107835	190.257107570075	179.061364027927	189.676194135128	127.759942656646	147.464320306569
AT5G01930	13.6680308595882	19.7629774563677	28.8218519580408	20.5654359509228	13.8844030371032	16.9299732693899
AT5G01950	103.385494676338	90.6893787187236	104.830394480451	106.446698223501	130.944202903034	130.350198030231
AT5G01960	108.508698181668	101.259696937358	99.0672935706023	130.440124107698	132.54969830486	111.876553532576
AT5G01970	38.9190290757648	40.6902669781147	35.1589323910682	33.9034465476278	36.0304714093396	25.2368514229696
AT5G01980	64.0841687694921	92.2110697212164	65.432224963515	53.808542633642	65.6468302458237	67.6784812174146
AT5G01990	56.3866904030756	34.9805651989406	48.0703523271437	48.0301342805817	42.918815202298	36.6715362498354
AT5G02010	48.7032452655105	51.0403392713799	54.8422040448082	37.7756254638895	29.0357827349646	24.4403902098219
AT5G02020	35.057403579123	18.0042529898427	23.9646747735947	11.4220562755873	11.355436549843	8.46377977801635
AT5G02030	20.5065254036161	27.7608114848477	34.6360157994164	41.2079671812398	29.0356748215996	38.5411215438745
AT5G02040	76.8242628338942	66.5128912033501	59.3655558095561	48.0050984992314	46.319566441206	55.1572784474418
AT5G02050	123.839078835519	80.2021118450083	115.121148227729	92.370927493666	66.8866597542701	114.811801582761
AT5G02055	12.7627789784028	7.55566448208266	8.45951635196937	16.6289925522517	8.81727472781902	11.3770729340012
AT5G02090	6.8305252826598	12.6668285194971	13.4062054304356	4.55064267335652	3.78523520628425	17.8931760543293
AT5G02100	40.4105522762522	40.5853415231183	50.6891645660492	46.7353982243477	34.8327536716115	37.1209983643986
AT5G02120	259.858795496885	286.674686020827	290.786223623553	578.263734099045	507.911515635688	494.582244443883
AT5G02130	31.6068825946444	18.8683937890817	36.5043617639437	22.8477829234878	13.8842613836752	15.0493963253819
AT5G02150	51.2139054749243	67.2647859074196	48.2567828070522	41.2757903566474	30.3982453023472	47.7244179502212
AT5G02160	1992.98154239827	2569.23274019669	2851.30723195798	1623.44311689335	1482.64241665005	1606.2858017497
AT5G02180	41.0125094251734	36.7228876713821	34.6329886248411	156.801361061334	151.489014164446	120.327604990699
AT5G02190	12.8155728329687	7.17216272241395	8.65451443857942	16.0145032576558	30.296354997779	20.6847842940018
AT5G02230	22.9821303383492	12.8179605309378	21.7632901832178	35.7955210440536	21.0512315619799	29.2946070496326
AT5G02240	558.643691552034	615.029761637398	627.083571995028	600.628701941951	559.135494829924	456.245549638751
AT5G02250	127.327532960812	160.896215628003	164.660152964945	156.991904967093	157.817239994605	167.26962945231
AT5G02260	27.3340944654584	35.0702851785882	27.8480206659874	49.0984861138445	55.5346730269789	56.4435504311296
AT5G02270	23.095292888035	8.67654694749893	10.300101407884	45.2231569104799	37.7814036520829	42.6867498162882
AT5G02280	21.3258569799669	24.7037850815486	20.9628225663775	75.7171485853668	41.6152045926396	38.684146305989
AT5G02290	163.143844320079	133.612274696099	156.675840144225	111.05010466848	135.038349960865	151.353842613387
AT5G02310	511.007383867404	524.488812381655	369.268754504101	484.220519051295	486.03403692837	412.381473250927
AT5G02320	20.158095685781	16.6093334308885	13.3927474295053	12.7479874527805	22.2549291197641	25.5393878752141
AT5G02370	20.5044360505957	22.4205405705026	17.3063552636012	14.867620155204	35.3451404430241	20.6860289508636
