AT1G05510
AT1G07350
AT1G07400
AT1G20823
AT1G52560
AT1G53540
AT1G56580
AT1G59860
AT1G65490
AT1G67325
AT1G67920
AT1G73040
AT1G76080
AT2G16890
AT2G21820
AT2G24270
AT2G24540
AT2G29500
AT2G32120
AT2G37180
AT2G41100
AT2G41140
AT2G41870
AT2G43010
AT2G45960
AT3G05030
AT3G14280
AT3G21370
AT3G24500
AT3G48240
AT3G53420
AT3G57550
AT3G62290
AT4G01450
AT4G02990
AT4G10080
AT4G10790
AT4G12400
AT4G14270
AT4G21320
AT4G22780
AT4G25140
AT4G29520
AT4G35090
AT5G01600
AT5G03210
AT5G03285
AT5G06960
AT5G09220
AT5G12000
AT5G12020
AT5G12110
AT5G15190
AT5G15250
AT5G15500
AT5G17460
AT5G18130
AT5G25280
AT5G35460
AT5G49740
AT5G54585
AT5G57050
AT5G58770
AT5G59310
AT5G59320
AT5G59720
AT5G63500
AT5G67420
ATMG01350
AT1G26800
AT1G30070
AT1G54050
AT2G26150
AT2G40170
AT2G41730
AT4G04020
AT4G17090
AT4G23680
AT4G28520
AT4G30460
AT5G03545
AT5G11680
AT5G43850
AT5G52640
AT5G65480
ATMG00090
AT3G01570
AT1G04560
AT1G54870
AT2G20560
AT2G37170
AT3G12580
AT3G24100
AT3G62260
AT4G25200
AT5G12030
AT5G37670
AT5G48570
AT5G51440
AT1G11220
AT1G22900
AT1G51680
AT1G53160
AT1G66700
AT1G71880
AT2G02100
AT2G19810
AT2G37600
AT2G38230
AT3G14210
AT3G27690
AT3G45160
AT3G56020
AT3G58990
AT3G62270
AT4G12830
AT4G17770
AT4G31500
AT5G23250
AT5G42900
AT5G44110
AT5G49730
AT1G73600
AT4G36220
