	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	116.490876825561	-0.440404428744	0.278379048008077	-1.58203152103323	0.113642374837178	0.215500416980193
AT1G01020	165.412618910561	0.751782679010081	0.278843373841192	2.69607510716119	0.00701618447144361	0.0231416198031494
AT1G01030	11.170471166108	-0.359209388979276	0.803512620489639	-0.447048845057821	0.654839792938132	0.767583427473102
AT1G01040	1131.80094665077	-0.149884445651622	0.206607559407924	-0.72545479982023	0.468173064785678	0.609356770545837
AT1G01050	779.934970316848	-0.201937912554663	0.169556530654201	-1.19097690767512	0.233662650436849	0.370396886025403
AT1G01060	346.725669566832	-4.10992519815068	0.397860911804271	-10.330055243458	5.1530898756995e-25	9.13423445986615e-23
AT1G01070	155.25498807405	0.671277454610579	0.431497049524546	1.55569419385426	0.119780827894878	0.22418914462006
AT1G01080	434.564643899029	-0.485184313588379	0.300915154492458	-1.61236250931503	0.10688307810923	0.205314135986002
AT1G01090	909.933105472183	-1.3614602385846	0.25412962968891	-5.35734554153019	8.44535111846371e-08	1.31934660622911e-06
AT1G01100	1230.53294005451	0.668753038862682	0.236702767399456	2.82528610125671	0.00472384159198049	0.0167176032820092
AT1G01110	28.231849695647	-0.639028355807814	0.664553214711263	-0.961590948116112	0.336255120242444	0.483233782640008
AT1G01120	470.880907002432	-2.51498102845787	0.291450707927747	-8.62918140202753	6.17926220521079e-18	5.16950146074247e-16
AT1G01140	3481.8712217853	0.417508051330399	0.171466954919533	2.43491844551814	0.0148951464293073	0.0428863967435683
AT1G01160	531.199945088895	1.06864978914101	0.209879999585171	5.09171808296743	3.54833429362341e-07	4.71259858002522e-06
AT1G01170	722.128798963363	0.293460853843922	0.250367632204523	1.17211977946173	0.241148969785916	0.379308557905223
AT1G01180	200.528180266819	-0.859624553778406	0.42387752295381	-2.02800221108228	0.0425600223394853	0.09987414604259
AT1G01210	200.404701511547	0.923242243458065	0.308182099731396	2.99576855457452	0.00273754126864942	0.0106776037761722
AT1G01220	314.616829380706	-0.268084392417714	0.164330534492552	-1.63137297183114	0.102811644397175	0.199160016191584
AT1G01225	10.9974112640696	-0.905216765249479	0.752148755759971	-1.20350762840104	0.22877994115837	0.364444381923058
AT1G01230	413.807095051587	-0.575275118367036	0.223099556668452	-2.57855787325455	0.00992136791399421	0.0308157962810962
AT1G01240	1015.61845045997	0.053731206532488	0.19540430001341	0.274974534996418	0.783335802573419	0.861270089877291
AT1G01250	28.6614682316798	-1.5615222010998	0.629055375324191	-2.48232868258229	0.0130526815518076	0.0384852038573801
AT1G01260	607.684559740556	-0.190695920486944	0.53783513268349	-0.354562037506699	0.722917720333022	0.818206849609438
AT1G01290	289.753480163853	0.28156192497052	0.177361119939157	1.58750646741015	0.112397983363696	0.213797396532113
AT1G01300	189.210631730194	-2.33998492515039	0.524367588961253	-4.46248962447467	8.10128524111984e-06	7.41878821850479e-05
AT1G01320	6821.06808201607	0.839262441404114	0.275214986802133	3.04947943117467	0.00229238329915849	0.00922243987706776
AT1G01340	322.119930896912	-2.92676159570764	0.525399902342923	-5.57054080645294	2.53949827448154e-08	4.5464637608043e-07
AT1G01350	296.770619148775	0.398354657968841	0.23897624083604	1.66692160097267	0.0955299950492511	0.187797683250987
AT1G01360	355.128630202165	-0.469850502666236	0.209726353849402	-2.24030263265636	0.0250712824571996	0.065325450419334
AT1G01390	72.9110829874931	-1.71407489300563	0.397029378279222	-4.31724952051321	1.5798553009558e-05	0.000134430368122679
AT1G01420	156.037292952719	-0.659975798791927	0.261846518540921	-2.52046810654382	0.011719885866133	0.0351753758024106
AT1G01430	352.300178286105	-0.582008638247026	0.394810069085183	-1.47414841671997	0.140441634910308	0.25307766379459
AT1G01440	405.600055339161	-0.85641577800177	0.225559931560237	-3.7968435797874	0.000146550196364036	0.000892714585064761
AT1G01448	199.043097947412	0.425478333376184	0.224885808573442	1.89197502534818	0.0584943084395245	0.128651548402065
AT1G01470	2619.07591509618	0.222098504396564	0.41842104041949	0.530801472540431	0.595556359536886	0.719255633080739
AT1G01480	19.3339274524951	-2.06400903063306	0.991249631891579	-2.08222930352504	0.0373215298625959	0.0896484779343392
AT1G01490	1466.79470535147	0.422068533136452	0.275434517013168	1.53237342114342	0.12543031241779	0.232369579459965
AT1G01500	378.125773969443	0.216049902988792	0.196294266432904	1.10064296280727	0.271052079260454	0.412675004252055
AT1G01510	289.565441811124	-0.0669226953219653	0.224197513504904	-0.298498829339165	0.765322469467293	0.847816801086903
AT1G01520	61.1282554565755	0.33452121176639	0.54271789710338	0.616381389948282	0.537642832984979	0.671353638224908
AT1G01540	662.440543633441	-0.0293281560582413	0.315708138884294	-0.0928964206050764	0.925985849395797	0.953521492104737
AT1G01550	3810.51144824585	-0.670781199261395	0.210888557820119	-3.1807377611902	0.00146900539461288	0.00636164801815229
AT1G01560	648.125598971099	-5.18589036055847	0.443757547639314	-11.6863147188058	1.49744359049658e-31	4.25535438105719e-29
AT1G01570	13.0041465959887	-0.111426920308752	0.624325470387704	-0.17847569191684	0.858349409744445	0.911340854148665
AT1G01580	31.573727282841	0.631550904445347	0.468217961297139	1.34883955048566	0.177388508023905	0.301651449387535
AT1G01610	253.694964332204	-0.931994316117263	0.298791328517189	-3.11921474007452	0.0018133375127024	0.00757800688373273
AT1G01620	1578.62104589681	0.436510141786571	0.695014716802755	0.628058847148775	0.5299653905485	0.664601208722187
AT1G01630	494.621822645974	-0.742753835627426	0.373202433747223	-1.99021702020975	0.0465670341922229	0.107365049986267
