"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0045229";"GO:0045229";"external encapsulating structure organization";"52/1199";"311/14666";0,167202572347267;2,0451984370684;5,55894712113279;5,14149970875315e-07;8,19835499013912e-05;7,98531485866638e-05;"PMEI-PME94/ATC/VIF2/PMEI13/CYP81F2/PME5/FLS2/PAE11/DUR/DGR2/PAE9/PMEI3/UGD3/PMEI-PME51/PME46/CYP79B2/AGP18/ATPME44/AthA1-1/ATCSLC05/ATR4/PMEI7/ATSEB1/MGP4/AtMSR1/COBL8/ATPME3/NAC1L/AIR12/AtPAE12/BGLU26/AtPRX25/ATEXP8/ATEXP4/ATCSLC08/CYP79B3/ATEXP15/NA/ARF17/GALT5/GASA6/CCRL6/AT5-MMP/ATPME1/GALT9/AGM1/ATFH4/ATEXP11/GAUT11/ATPMEPCRA/ATEXO70B2/NA/PMEI-PME7";52
"GO:0044843";"GO:0044843";"cell cycle G1/S phase transition";"14/1199";"38/14666";0,368421052631579;4,5064746938238;6,45780945579216;8,22738035447036e-07;0,000120256876181175;0,000117131915046539;"CYCA3;1/CYCD4;2/CYC1BAT/CYC1/CYCB2;2/CYC2/CDKB1;2/CYCB1;4/CDKB2;1/CYCB2;4/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2";14
"GO:0071555";"GO:0071555";"cell wall organization";"46/1199";"270/14666";0,17037037037037;2,0839464986254;5,36394115865139;1,35889955083812e-06;0,000183346908628466;0,000178582507774111;"PMEI-PME94/ATC/VIF2/PMEI13/CYP81F2/PME5/FLS2/PAE11/DGR2/PAE9/PMEI3/UGD3/PMEI-PME51/PME46/CYP79B2/AGP18/ATPME44/AthA1-1/ATCSLC05/ATR4/PMEI7/ATSEB1/MGP4/AtMSR1/COBL8/ATPME3/NAC1L/AtPAE12/BGLU26/AtPRX25/ATEXP8/ATEXP4/ATCSLC08/CYP79B3/ATEXP15/NA/ARF17/GASA6/ATPME1/AGM1/ATFH4/ATEXP11/GAUT11/ATPMEPCRA/ATEXO70B2/NA/PMEI-PME7";46
"GO:0042545";"GO:0042545";"cell wall modification";"31/1199";"152/14666";0,203947368421053;2,49465563408103;5,52693775174107;1,61168489407966e-06;0,000201921093158266;0,000196674028803856;"PMEI-PME94/ATC/VIF2/PMEI13/CYP81F2/PME5/FLS2/PMEI3/PMEI-PME51/PME46/CYP79B2/ATPME44/ATR4/PMEI7/ATPME3/NAC1L/BGLU26/ATEXP8/ATEXP4/CYP79B3/ATEXP15/NA/ARF17/GASA6/ATPME1/AGM1/ATFH4/ATEXP11/ATPMEPCRA/ATEXO70B2/NA/PMEI-PME7";31
"GO:0071554";"GO:0071554";"cell wall organization or biogenesis";"69/1199";"481/14666";0,143451143451143;1,75467428678438;5,02149016301985;2,77697108113753e-06;0,000324720485087681;0,000316282390504295;"PMEI-PME94/ATC/VIF2/ATBXL4/PMEI13/CYP81F2/PME5/FLS2/AtRABA1c/PAE11/ARAD2/DGR2/PAE9/PNT1/PMEI3/ATCSLD2/UGD3/PMEI-PME51/XXT3/PME46/CYP79B2/AGP18/ATPME44/AthA1-1/ATCSLC05/ATR4/ATXTH19/PMEI7/ATSEB1/MGP4/PHIP1/AtMSR1/COBL8/AtRABA1g/ATPME3/NAC1L/AtPAE12/BGLU26/AtPRX25/ATEXP8/LEW3/ATEXP4/ATCSLC08/CYP79B3/AtMAN2/NA/FLA7/ATEXP15/NA/ARF17/UMAMIT5/GALT5/GASA6/ATXYL1/NA/ATMAP70-1/IRX11/ATPME1/AGM1/ATFH4/ATEXP11/GAUT11/ATMYB58/ATPMEPCRA/XTH8/ATEXO70B2/NA/PMEI-PME7/ATCSLD5/NA";69
"GO:0009611";"GO:0009611";"response to wounding";"39/1199";"233/14666";0,167381974248927;2,0473928559923;4,80866427586537;1,30209275429953e-05;0,00142741918190086;0,00139032667120272;"ATPEP1/RGLG3/atnudt8/ATIMD1/ALF4/ATMYB29/NHL3/ATPAL3/TIFY8/NA/ANS/ATTPS03/BASS5/NA/ATBT2/ATMAPK3/ATLOX2/FAMT/FAR5/FAR4/ANAC059/ATXR2/4CL2/JAI3/LIK1/NA/ATPAL1/AtBBE16/CYP79B3/ATWRKY40/RGLG4/ATOPR1/CML38/ATSOT16/IGMT2/IGMT3/OPCL1/ATMPK8/ERF59";39
"GO:0045490";"GO:0045490";"pectin catabolic process";"15/1199";"53/14666";0,283018867924528;3,46184713676491;5,35728216020021;1,43085963218895e-05;0,00147631046756437;0,00143794748176017;"PMEI-PME94/ATPLL14/ATPLL21/PME5/PMEI-PME51/PME46/ATPME44/ATPLL18/ATPME3/AtPLL1/ATPLL20/ATPME1/ATPMEPCRA/NA/PMEI-PME7";15
"GO:0044772";"GO:0044772";"mitotic cell cycle phase transition";"19/1199";"81/14666";0,234567901234568;2,86920170100598;5,0333908515197;2,13274221063257e-05;0,00207823879858307;0,00202423427360039;"CYCA3;1/CYCD4;2/CYC1BAT/CYC1/CYCB2;2/AtMAD2/BUB3.1/CYC2/ATNBS1/CDKB1;2/BUBR1/CYCB1;4/CDKB2;1/CYCB2;4/UBC20/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2";19
"GO:0007018";"GO:0007018";"microtubule-based movement";"15/1199";"58/14666";0,258620689655172;3,16341203876794;4,92575780239089;4,61768917596786e-05;0,00426285621823559;0,0041520828435434;"KCBP/NA/ATK3/NA/NA/PAKRP2/ATK5/NA/KINESIN-12B/NA/NA/RSW7/MDKIN2/ZCF125/ATNACK1";15
"GO:0009625";"GO:0009625";"response to insect";"11/1199";"34/14666";0,323529411764706;3,95736643281166;5,15119447885463;5,11984963912454e-05;0,00449010813351222;0,00437342945489428;"AtMYB28/ATMYB29/CYP79B2/ATR4/ATTPS03/CYP83A1/ESM1/CYP79B3/ATBG1/AtKTI5/BUS1";11
"GO:0044770";"GO:0044770";"cell cycle phase transition";"21/1199";"101/14666";0,207920792079208;2,54325799552432;4,64364673333331;5,55288514081162e-05;0,00463798120808742;0,00451745994162269;"CYCA3;1/CYCD4;2/CYC1BAT/CYC1/CYCB2;2/ATCDT1B/AtMAD2/BUB3.1/CYC2/ATNBS1/CDKB1;2/BUBR1/ATCDT1A/CYCB1;4/CDKB2;1/CYCB2;4/UBC20/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2";21
"GO:0022402";"GO:0022402";"cell cycle process";"61/1199";"453/14666";0,134657836644592;1,64711579001633;4,17448990480922;7,08875210436789e-05;0,00565166872320967;0,00550480605999478;"PLP3b/NA/PP4-2/ATK3/ATCAP-C/CYCA3;1/NA/RAMGaP/ATCSLD2/TPXL5/CYCD4;2/NA/CYC1BAT/CYC1/AGP18/CYCB2;2/NA/ATK5/ATRANGAP1/ATRAD21.2/TRM7/PHIP1/ATCDT1B/NDC80/SPC25/NA/AtMAD2/CDC45/KINESIN-12B/ATTSO1/BUB3.1/CYC2/ATN/MCC1/MAC2/ATNBS1/CDKB1;2/NA/ASY4/BUBR1/NA/ATCDT1A/RSW7/CYCB1;4/CDKB2;1/CYCB2;4/AtGIP2/SCL28/UBC20/CYCA3;4/CYCA3;2/CYCA1;1/CDKB2;2/ATNACK1/IQD7/CENP-C/ATRAB-A2A/AtTPX2/ATCSLD5/ATPRD3/CENH3";61
"GO:0045488";"GO:0045488";"pectin metabolic process";"24/1199";"127/14666";0,188976377952756;2,31153257635956;4,42923649428253;8,54792792557769e-05;0,00651872416585359;0,00634933044540622;"PMEI-PME94/ATPLL14/ATPLL21/PME5/XGD1/DGR2/UGD3/PMEI-PME51/PME46/AGP18/ATPME44/AthA1-1/MGP4/GATL7/ATPLL18/AtMSR1/ATPME3/AtPLL1/ATPLL20/ATPME1/GAUT11/ATPMEPCRA/NA/PMEI-PME7";24
"GO:0090307";"GO:0090307";"mitotic spindle assembly";"6/1199";"11/14666";0,545454545454545;6,6719235726742;5,61499012196915;9,50996391841222e-05;0,00678411456482735;0,00660782448461549;"TPXL5/NA/NA/RSW7/AtGIP2/AtTPX2";6
"GO:0010393";"GO:0010393";"galacturonan metabolic process";"24/1199";"128/14666";0,1875;2,29347372810676;4,38556406717728;9,72062233965005e-05;0,00678411456482735;0,00660782448461549;"PMEI-PME94/ATPLL14/ATPLL21/PME5/XGD1/DGR2/UGD3/PMEI-PME51/PME46/AGP18/ATPME44/AthA1-1/MGP4/GATL7/ATPLL18/AtMSR1/ATPME3/AtPLL1/ATPLL20/ATPME1/GAUT11/ATPMEPCRA/NA/PMEI-PME7";24
"GO:0042343";"GO:0042343";"indole glucosinolate metabolic process";"8/1199";"20/14666";0,4;4,89274395329441;5,19788320565669;0,000100562701645103;0,00678411456482735;0,00660782448461549;"AtATR1/CYP81F2/CYP81F3/ATR4/BGLU26/IGMT5/IGMT2/IGMT1";8
"GO:1901658";"GO:1901658";"glycosyl compound catabolic process";"11/1199";"37/14666";0,297297297297297;3,63649888420531;4,79111206377946;0,000121771327083876;0,00791062621130066;0,00770506291840663;"UGT76C2/NA/NSP4/ESM1/BGLU26/BGLU33/ATFUC1/BGLU22/BGLU21/ATBG1/NSH2";11
