"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0009733";"GO:0009733";"response to auxin";"33/543";"272/12417";0,121323529411765;2,77435407864803;6,32729708097801;1,01235531776213e-07;0,000131403720245525;0,000129048662085257;"XBAT32/ATAUX2-11/ANAC092/SAUR23/SAUR21/SAUR20/SAUR19/BG1/SAUR16/SAUR14/SAUR13/BT5/DEG4/SAUR50/IAA29/IAA11/GH3.5/AtTIR1/SAUR59/SAUR57/ATBT2/CuAOgamma2/AFB2/BG4/SAUR28/SAUR6/PIF1/ATPIN4/SAUR78/anac021/CuAOalpha2/SAUR65/ATPIN7";33
"GO:0016567";"GO:0016567";"protein ubiquitination";"38/543";"429/12417";0,0885780885780886;2,02555087637961;4,62279604973175;2,73323731662499e-05;0,0177387101848962;0,017420791528594;"AtAIRP4/SKIP1/XBAT32/NPY6/ATL46/NA/AtRZPF34/MIEL1/ABAP1/CTL08/LUL1/BT5/ATL13/AtFBS2/ACD6/RHA1B/PIT1/BRH1/SKIP4/ATL4/NA/ATBT2/ATBPM6/NPY7/NA/ATL77/ATPUB29/PUB24/ATTLP9/SKIP6/XER/ATBBD1/UBC5/BPH1/PUB26/MPSR1/NA/SNIPER1";38
"GO:0032446";"GO:0032446";"protein modification by small protein conjugation";"38/543";"451/12417";0,0842572062084257;1,92674351655621;4,28711933482848;8,05775113805597e-05;0,0275647585975828;0,027070734459227;"AtAIRP4/SKIP1/XBAT32/NPY6/ATL46/NA/AtRZPF34/MIEL1/ABAP1/CTL08/LUL1/BT5/ATL13/AtFBS2/ACD6/RHA1B/PIT1/BRH1/SKIP4/ATL4/NA/ATBT2/ATBPM6/NPY7/NA/ATL77/ATPUB29/PUB24/ATTLP9/SKIP6/XER/ATBBD1/UBC5/BPH1/PUB26/MPSR1/NA/SNIPER1";38
"GO:0071456";"GO:0071456";"cellular response to hypoxia";"20/543";"180/12417";0,111111111111111;2,54082259054635;4,45290730019053;0,000118038241829839;0,0275647585975828;0,027070734459227;"NA/AtGDPD2/NA/HUP54/AT-HSFB2B/ATWRKY70/ATMES10/ATMBF1C/ETR2/HUP26/NA/LBD41/FBA6/CBP1/TN8/SAUR78/AtRAV2/HSP17.4B/MPSR1/SNIPER1";20
"GO:0036294";"GO:0036294";"cellular response to decreased oxygen levels";"20/543";"181/12417";0,110497237569061;2,52678489667593;4,42475932193535;0,000127417990435668;0,0275647585975828;0,027070734459227;"NA/AtGDPD2/NA/HUP54/AT-HSFB2B/ATWRKY70/ATMES10/ATMBF1C/ETR2/HUP26/NA/LBD41/FBA6/CBP1/TN8/SAUR78/AtRAV2/HSP17.4B/MPSR1/SNIPER1";20
"GO:0071453";"GO:0071453";"cellular response to oxygen levels";"20/543";"181/12417";0,110497237569061;2,52678489667593;4,42475932193535;0,000127417990435668;0,0275647585975828;0,027070734459227;"NA/AtGDPD2/NA/HUP54/AT-HSFB2B/ATWRKY70/ATMES10/ATMBF1C/ETR2/HUP26/NA/LBD41/FBA6/CBP1/TN8/SAUR78/AtRAV2/HSP17.4B/MPSR1/SNIPER1";20
