"";"ID";"Description";"GeneRatio";"BgRatio";"RichFactor";"FoldEnrichment";"zScore";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"GO:0045229";"GO:0045229";"external encapsulating structure organization";"59/1254";"330/15355";0,178787878787879;2,18922478372239;6,51250786979741;7,2091811468918e-09;1,08006641182524e-06;1,03205119576556e-06;"TIN1/NA/BGAL4/QRT1/NA/PMEI-PME59/EXT13/CASP5/PGLR/EXT9/CASP4/PMEI-PME47/PME46/TBL3/CYP79B2/AthA1-1/ATR4/ATEXPB3/BGAL12/PMEI7/PMEI4/PAE8/EXT12/EXT8/ATCSLC12/RGXT1/ATEXP17/ATVTI13/ATCSLC04/PGX1/BGAL1/CASP2/PMEI-PME25/PMEI-PME24/ROPGAP3/ATPMEPCRD/AtPRX25/ATEXP8/ATEXP4/ATEXP6/BGAL8/CASP3/EXT6/CYP79B3/ATEXPB1/ATXTH21/NA/GASA6/ATGH9B1/AT-EXP1/AGM2/PMEI9/ATPME2/EXT15/ATEXP11/RUBY/ATPMEPCRA/AtPRX1/PMEI-PME7";59
"GO:0031667";"GO:0031667";"response to nutrient levels";"48/1254";"265/15355";0,181132075471698;2,21792904215943;5,96396222118131;1,20719292518508e-07;1,65787828392084e-05;1,58417597901481e-05;"MRF1/AtATR1/AtbZIP1/ATSDI1/AKINBETA1/ATMGD2/ATSPX1/BETA/BHLH101/ATIREG2/SQD2/SQD1/NA/ATG8F/AFB1/RHS13/NA/LSU1/MRF4/AtNIT3/ATSUS4/HHO1/ATEBP/AtSWEET16/PYD4/NA/BCE2/PDLZ2/ATPPCK2/ATBCA1/ATSPX3/NA/ACO1/AGL44/ATMGD3/CCLP/AtPPsPase1/ATBCA4/DIN9/NA/ATBCA6/ATBCA3/NA/ALMT3/GAI/AtNIGT1/NA/SDI2";48
"GO:0051762";"GO:0051762";"sesquiterpene biosynthetic process";"8/1254";"11/15355";0,727272727272727;8,90532115412498;7,82133964316718;2,55530585585476e-07;3,23934157726819e-05;3,09533405697063e-05;"TPS20/TPS08/ATTPS12/TPS9/TPS25/TPS26/TPS22/TPS29";8
"GO:0051761";"GO:0051761";"sesquiterpene metabolic process";"8/1254";"12/15355";0,666666666666667;8,1632110579479;7,40248963664866;7,11422460138362e-07;8,37445867362871e-05;8,00216541629315e-05;"TPS20/TPS08/ATTPS12/TPS9/TPS25/TPS26/TPS22/TPS29";8
"GO:0009827";"GO:0009827";"plant-type cell wall modification";"22/1254";"85/15355";0,258823529411765;3,16924664602683;5,98044442675684;8,19158785198711e-07;8,49336571372949e-05;8,11578634883707e-05;"NA/BGAL4/NA/PGLR/TBL3/ATEXPB3/BGAL12/PMEI7/PMEI4/ATEXP17/BGAL1/ATEXP8/ATEXP4/ATEXP6/BGAL8/ATEXPB1/NA/GASA6/AT-EXP1/AGM2/PMEI9/ATEXP11";22
"GO:0000272";"GO:0000272";"polysaccharide catabolic process";"25/1254";"105/15355";0,238095238095238;2,91543252069568;5,87301573610012;8,24598612983446e-07;8,49336571372949e-05;8,11578634883707e-05;"ATBXL4/QRT1/PMEI-PME59/ATBXL1/ATPLL21/PMEI-PME47/PME46/PLL19/NA/ATPLL17/NA/PGX1/ATPLL24/NA/ARAF/PMEI-PME25/PMEI-PME24/ATPLL20/ATPMEPCRD/PLL16/ATXYN1/ATPME2/ATPMEPCRA/PMEI-PME7/ATBXL2";25
"GO:0045490";"GO:0045490";"pectin catabolic process";"17/1254";"57/15355";0,298245614035088;3,65196284171353;5,98166537595394;1,7230588362936e-06;0,000167035350718344;0,000159609660625091;"QRT1/PMEI-PME59/ATPLL21/PMEI-PME47/PME46/PLL19/ATPLL17/PGX1/ATPLL24/PMEI-PME25/PMEI-PME24/ATPLL20/ATPMEPCRD/PLL16/ATPME2/ATPMEPCRA/PMEI-PME7";17
"GO:0009664";"GO:0009664";"plant-type cell wall organization";"36/1254";"192/15355";0,1875;2,29590311004785;5,38846615116704;1,94861425660916e-06;0,000178406460827327;0,000170475258940778;"NA/BGAL4/NA/EXT13/PGLR/EXT9/PME46/TBL3/AthA1-1/ATEXPB3/BGAL12/PMEI7/PMEI4/EXT12/EXT8/RGXT1/ATEXP17/ATVTI13/PGX1/BGAL1/ROPGAP3/AtPRX25/ATEXP8/ATEXP4/ATEXP6/BGAL8/EXT6/ATEXPB1/NA/GASA6/AT-EXP1/AGM2/PMEI9/EXT15/ATEXP11/AtPRX1";36
"GO:0071669";"GO:0071669";"plant-type cell wall organization or biogenesis";"50/1254";"322/15355";0,15527950310559;1,90136903523631;4,87463746318161;7,37557106236472e-06;0,000625357173759486;0,000597556420505998;"NA/XTH25/BGAL4/NA/ATBXL1/EXT13/PGLR/EXT9/PME46/ATFLA11/TBL3/AthA1-1/ATEXPB3/BGAL12/PMEI7/PMEI4/ATCSLB05/EXT12/ANAC070/GXM2/EXT8/RHS13/RGXT1/ATEXP17/ATVTI13/PGX1/BGAL1/ROPGAP3/AtPRX25/ATEXP8/ATEXP4/ATCSLB02/ATCSLB01/ATEXP6/BGAL8/EXT6/CESA09/ATEXPB1/FLA6/NA/GASA6/AT-EXP1/AGM2/AtMYB20/PMEI9/ATMYC2/EXT15/ATEXP11/AtPRX1/FLA9";50
"GO:0019748";"GO:0019748";"secondary metabolic process";"39/1254";"228/15355";0,171052631578947;2,09450810039453;4,96528955991564;7,58928608931415e-06;0,000625357173759486;0,000597556420505998;"UGT72E2/AtPRX71/scpl1/FAR1/CYP79B2/ATCAD7/ATCAD6/CER4/CYP82C4/GGP1/GH3.5/ANS/AtKFB50/ABCG27/UGT72E1/SCPL15/SCPL7/KFB39/AtPRX25/scpl10/SCPL8/FPT1/CYP79B3/ATCAD2/KFB20/scpl3/AtMYB20/BDG1/BGLU45/PBL15/ATGSTU28/4CL.1/ATGSTF14/ERF55/ATPRR1/ATGSTU14/ATMYB3/ATGSTU18/AtPRX1";39
"GO:0006721";"GO:0006721";"terpenoid metabolic process";"31/1254";"172/15355";0,180232558139535;2,20691461741033;4,74675213887803;2,23117956960918e-05;0,001707604940665;0,00163169199746732;"AtCXE20/TPS20/CYP708/CYP705A5/MRN1/CYP71A16/AT2301/TPS08/CCD4/AtCLA1/04C11/ATTPS12/ABCG27/AtGGPS10/TPS9/TPS25/ATTPS-CIN/ATTPS-CIN/AtGGPS8/AtGGPS6/IDS5/UGT71C1/PIF1/CAS1/ATLUP1/ABA4/TPS26/BDG1/ERF55/TPS22/TPS29";31
"GO:0006720";"GO:0006720";"isoprenoid metabolic process";"35/1254";"205/15355";0,170731707317073;2,09057844166958;4,68772474329279;2,27956970234405e-05;0,001707604940665;0,00163169199746732;"AtCXE20/NA/TPS20/CYP708/CYP705A5/MRN1/CYP71A16/AT2301/TPS08/CCD4/AtCLA1/04C11/CYP705A1/DJC26/ATTPS12/ABCG27/AtGGPS10/TPS9/TPS25/ATTPS-CIN/ATTPS-CIN/AtGGPS8/AtGGPS6/IDS5/UGT71C1/ACPT/PIF1/CAS1/ATLUP1/ABA4/TPS26/BDG1/ERF55/TPS22/TPS29";35
